OrderDate_Year;OrderDate_Month;CustomerKey;Cantidad_Total_Productos;Compra_Total;Cantidad_Compras;Total_Subcategorias_Compradas;Q_Productos_Compra;Ticket_Compra
2016;7;11000;1;3399,99;1;1;1,0;3399,99
2016;7;11001;1;3374,99;1;1;1,0;3374,99
2016;7;11002;1;3399,99;1;1;1,0;3399,99
2016;7;11003;1;3399,99;1;1;1,0;3399,99
2016;7;11004;1;3399,99;1;1;1,0;3399,99
2016;7;11005;1;3374,99;1;1;1,0;3374,99
2016;7;11006;1;3399,99;1;1;1,0;3399,99
2016;7;11007;1;3399,99;1;1;1,0;3399,99
2016;7;11008;1;3374,99;1;1;1,0;3374,99
2016;7;11009;1;3374,99;1;1;1,0;3374,99
2016;7;11010;1;3399,99;1;1;1,0;3399,99
2016;7;11011;1;3399,99;1;1;1,0;3399,99
2016;7;11017;1;3374,99;1;1;1,0;3374,99
2016;7;11018;1;3399,99;1;1;1,0;3399,99
2016;7;11025;1;3374,99;1;1;1,0;3374,99
2016;7;11026;1;3399,99;1;1;1,0;3399,99
2016;7;11027;1;3399,99;1;1;1,0;3399,99
2016;7;11028;1;3374,99;1;1;1,0;3374,99
2016;7;11029;1;3399,99;1;1;1,0;3399,99
2016;7;11238;1;3399,99;1;1;1,0;3399,99
2016;7;11239;1;3374,99;1;1;1,0;3374,99
2016;7;11591;1;3578,27;1;1;1,0;3578,27
2016;7;11592;1;3578,27;1;1;1,0;3578,27
2016;7;11593;1;3578,27;1;1;1,0;3578,27
2016;7;11599;1;3578,27;1;1;1,0;3578,27
2016;7;11601;1;3578,27;1;1;1,0;3578,27
2016;7;11606;1;3578,27;1;1;1,0;3578,27
2016;7;11607;1;3578,27;1;1;1,0;3578,27
2016;7;11611;1;3578,27;1;1;1,0;3578,27
2016;7;13257;1;3578,27;1;1;1,0;3578,27
2016;7;13258;1;3578,27;1;1;1,0;3578,27
2016;7;13259;1;3578,27;1;1;1,0;3578,27
2016;7;13260;1;3578,27;1;1;1,0;3578,27
2016;7;13261;1;3578,27;1;1;1,0;3578,27
2016;7;13264;1;3578,27;1;1;1,0;3578,27
2016;7;13265;1;3578,27;1;1;1,0;3578,27
2016;7;13406;1;3578,27;1;1;1,0;3578,27
2016;7;13513;1;3578,27;1;1;1,0;3578,27
2016;7;13563;1;3578,27;1;1;1,0;3578,27
2016;7;13576;1;3578,27;1;1;1,0;3578,27
2016;7;13581;1;3578,27;1;1;1,0;3578,27
2016;7;13583;1;3578,27;1;1;1,0;3578,27
2016;7;13584;1;3578,27;1;1;1,0;3578,27
2016;7;13585;1;3578,27;1;1;1,0;3578,27
2016;7;13590;1;3578,27;1;1;1,0;3578,27
2016;7;13591;1;3578,27;1;1;1,0;3578,27
2016;7;14501;1;699,0982;1;1;1,0;699,0982
2016;7;14510;2;1398,1964;1;1;2,0;1398,1964
2016;7;14520;2;1398,1964;1;1;2,0;1398,1964
2016;7;14558;3;2097,2946;1;1;3,0;2097,2946
2016;7;14559;1;699,0982;1;1;1,0;699,0982
2016;7;14560;3;2097,2946;1;1;3,0;2097,2946
2016;7;16345;1;3578,27;1;1;1,0;3578,27
2016;7;16347;1;3578,27;1;1;1,0;3578,27
2016;7;16348;1;3578,27;1;1;1,0;3578,27
2016;7;16349;1;3578,27;1;1;1,0;3578,27
2016;7;16350;1;3578,27;1;1;1,0;3578,27
2016;7;16351;1;3578,27;1;1;1,0;3578,27
2016;7;16352;1;3578,27;1;1;1,0;3578,27
2016;7;16482;1;3578,27;1;1;1,0;3578,27
2016;7;16483;1;3578,27;1;1;1,0;3578,27
2016;7;16484;1;3578,27;1;1;1,0;3578,27
2016;7;16493;1;3578,27;1;1;1,0;3578,27
2016;7;16494;1;3578,27;1;1;1,0;3578,27
2016;7;16495;1;3578,27;1;1;1,0;3578,27
2016;7;16496;1;3578,27;1;1;1,0;3578,27
2016;7;16514;1;3578,27;1;1;1,0;3578,27
2016;7;16515;1;3578,27;1;1;1,0;3578,27
2016;7;16516;1;3578,27;1;1;1,0;3578,27
2016;7;16517;1;3578,27;1;1;1,0;3578,27
2016;7;16518;1;3578,27;1;1;1,0;3578,27
2016;7;16519;1;3578,27;1;1;1,0;3578,27
2016;7;16520;1;3578,27;1;1;1,0;3578,27
2016;7;16521;1;3578,27;1;1;1,0;3578,27
2016;7;16522;1;3578,27;1;1;1,0;3578,27
2016;7;16523;1;3578,27;1;1;1,0;3578,27
